	trialType	Response	Attempts	RT	waterTime
0	AB	correct	1	9.875	2.6429998874664307
1	AB	correct	2	3.7150001525878906	2.7339999675750732
2	AB	correct	2	2.7839999198913574	2.864000082015991
3	AB	correct	2	2.0929999351501465	2.9240000247955322
4	AB	correct	1	2.7039999961853027	2.5329999923706055
5	AB	incorrect	2	1.2920000553131104	NA
6	AB	correct	1	4.315999984741211	2.9240000247955322
7	AB	correct	2	3.3249998092651367	2.994000196456909
8	AB	correct	1	6.759999990463257	2.7139999866485596
9	AB	correct	1	2.5339999198913574	2.9240000247955322
10	AB	correct	1	2.1430001258850098	2.803999900817871
11	AB	incorrect	2	1.3519999980926514	NA
12	AB	correct	1	5.789000034332275	2.6540000438690186
13	AB	correct	1	5.016999959945679	2.934000015258789
14	AB	correct	2	3.7760000228881836	2.8340001106262207
15	AB	correct	1	3.5349998474121094	2.8440001010894775
