"","ratID","session","firstAttempt","meanAttempts","medianAttempts"
"1","101",70,1,1,1
"2","102",70,1,1,1
"3","103",70,1,1,1
"4","104",70,1,1,1
"5","105",70,1,1,1
"6","106",70,1,1,1
"7","107",70,1,1,1
"8","108",70,1,1,1
"9","109",70,1,1,1
"10","110",70,1,1,1
"11","111",70,1,1,1
"12","112",70,1,1,1
"13","101",71,1,1,1
"14","102",71,1,1,1
"15","103",71,1,1,1
"16","104",71,1,1,1
"17","105",71,1,1,1
"18","106",71,1,1,1
"19","107",71,1,1,1
"20","108",71,1,1,1
"21","109",71,1,1,1
"22","110",71,1,1,1
"23","111",71,1,1,1
"24","112",71,1,1,1
"25","101",72,1,1,1
"26","102",72,1,1,1
"27","103",72,1,1,1
"28","104",72,1,1,1
"29","105",72,1,1,1
"30","106",72,1,1,1
"31","107",72,1,1,1
"32","108",72,1,1,1
"33","109",72,1,1,1
"34","110",72,1,1,1
"35","111",72,1,1,1
"36","112",72,1,1,1
"37","101",73,1,1,1
"38","102",73,1,1,1
"39","103",73,1,1,1
"40","104",73,1,1,1
"41","105",73,1,1,1
"42","106",73,1,1,1
"43","107",73,1,1,1
"44","108",73,1,1,1
"45","109",73,1,1,1
"46","110",73,1,1,1
"47","111",73,1,1,1
"48","112",73,1,1,1
