	trialType	Response	Attempts	RT	waterTime
0	AB	correct	1	0.6909999847412109	2.754000186920166
1	AB	correct	1	30.11299991607666	2.8940000534057617
2	AB	correct	1	6.840000152587891	2.673999786376953
3	AB	incorrect	1	6.589000225067139	NA
4	AB	correct	1	2.5840001106262207	2.5339999198913574
5	AB	incorrect	1	1.883000135421753	NA
6	AB	correct	1	7.259999990463257	2.6740000247955322
7	AB	correct	1	2.5939998626708984	2.4230000972747803
8	AB	incorrect	1	1.061999797821045	NA
9	AB	incorrect	1	2.4040000438690186	NA
10	AB	incorrect	1	9.223000049591064	NA
11	AB	correct	1	2.4739999771118164	2.4029998779296875
12	AB	correct	1	10.305000066757202	2.364000082015991
13	AB	incorrect	1	1.441999912261963	NA
14	AB	correct	1	3.2849998474121094	2.453000068664551
15	AB	incorrect	1	1.9029998779296875	NA
16	AB	correct	1	4.736000061035156	2.4039998054504395
17	AB	correct	1	6.458999872207642	2.3540000915527344
18	AB	correct	1	0.8320000171661377	2.4030001163482666
19	AB	incorrect	1	1.3620002269744873	NA
20	AB	correct	1	3.424999952316284	2.4639999866485596
21	AB	incorrect	1	4.3460001945495605	NA
22	AB	correct	1	5.888999938964844	2.443000078201294
23	AB	incorrect	1	0.9719998836517334	NA
24	AB	correct	1	2.263000011444092	2.4029998779296875
25	AB	correct	1	1.8829998970031738	2.322999954223633
26	AB	correct	1	2.374000072479248	2.36299991607666
27	AB	correct	1	5.258000135421753	2.3529999256134033
28	AB	incorrect	1	4.957000017166138	NA
29	AB	correct	1	1.8519999980926514	2.80400013923645
30	AB	correct	1	2.9250001907348633	2.2730000019073486
31	AB	correct	1	1.0310001373291016	2.373999834060669
32	AB	incorrect	1	0.7809998989105225	NA
33	AB	incorrect	1	7.641000032424927	NA
34	AB	correct	1	1.3220000267028809	2.5829999446868896
35	AB	correct	1	9.783999919891357	2.6440000534057617
36	AB	correct	1	0.6510000228881836	2.36299991607666
37	AB	incorrect	1	4.28600001335144	NA
38	AB	incorrect	1	0.3900001049041748	NA
39	AB	correct	1	1.0120000839233398	2.9839999675750732
40	AB	correct	1	6.559000015258789	2.5239999294281006
41	AB	correct	1	9.513999938964844	2.374000072479248
42	AB	correct	1	1.1319999694824219	2.373000144958496
43	AB	correct	1	7.960999965667725	2.322999954223633
44	AB	correct	1	2.553999900817871	2.302999973297119
45	AB	correct	1	3.884999990463257	2.4839999675750732
46	AB	incorrect	1	5.767999887466431	NA
47	AB	incorrect	1	1.4119999408721924	NA
48	AB	incorrect	1	0.9019999504089355	NA
49	AB	incorrect	1	14.581000089645386	NA
50	AB	incorrect	1	0.8209998607635498	NA
51	AB	correct	1	15.983000040054321	2.3339998722076416
52	AB	incorrect	1	4.286999940872192	NA
53	AB	correct	1	1.121999979019165	2.2929999828338623
54	AB	correct	1	16.603999853134155	2.6040000915527344
55	AB	correct	1	1.1620001792907715	2.263000011444092
56	AB	correct	1	2.7939999103546143	2.3930001258850098
57	AB	correct	1	6.20799994468689	2.2740001678466797
58	AB	incorrect	1	1.9830000400543213	NA
59	AB	correct	1	2.0329999923706055	2.493000030517578
60	AB	incorrect	1	8.201000213623047	NA
61	AB	correct	1	8.23200011253357	2.3339998722076416
62	AB	correct	1	9.17300009727478	2.313999891281128
63	AB	correct	1	2.263000011444092	2.5239999294281006
