	trialType	Response	Attempts	RT	waterTime
0	AB	correct		16.282999992370605	2.374000072479248
1	AB	correct		4.185999870300293	2.444000005722046
2	AB	correct		4.35699987411499	2.433000087738037
3	AB	correct		5.747999906539917	2.2829999923706055
4	AB	incorrect		1.431999921798706	NA
5	AB	correct		5.92900013923645	2.443000078201294
6	AB	correct		7.641000032424927	2.4030001163482666
7	AB	incorrect		0.942000150680542	NA
8	AB	correct		4.176000118255615	2.2639999389648438
9	AB	incorrect		2.6540000438690186	NA
10	AB	correct		9.613999843597412	2.1630001068115234
11	AB	incorrect		5.318000078201294	NA
12	AB	correct		3.6560001373291016	2.322999954223633
13	AB	correct		1.7330000400543213	2.422999858856201
14	AB	correct		1.7630000114440918	2.192999839782715
15	AB	incorrect		2.564000129699707	NA
16	AB	correct		3.5350000858306885	2.2039999961853027
17	AB	correct		1.5319998264312744	2.203000068664551
18	AB	incorrect		2.5840001106262207	NA
19	AB	correct		2.5439999103546143	2.2930002212524414
20	AB	correct		3.1040000915527344	2.4839999675750732
21	AB	incorrect		1.2009999752044678	NA
22	AB	correct		3.615000009536743	2.382999897003174
23	AB	correct		2.5339999198913574	2.372999906539917
24	AB	incorrect		1.4930000305175781	NA
25	AB	correct		8.57200002670288	2.373999834060669
26	AB	correct		3.4749999046325684	2.49399995803833
27	AB	incorrect		1.562000036239624	NA
28	AB	incorrect		3.2339999675750732	NA
29	AB	correct		3.4040000438690186	2.574000120162964
30	AB	correct		5.73799991607666	2.4029998779296875
31	AB	incorrect		0.7310001850128174	NA
32	AB	incorrect		1.6529998779296875	NA
33					
34					
35					
36					
37					
38					
39					
40					
41					
42					
43					
44					
45					
46					
47					
48					
49					
50					
51					
52					
53					
54					
55					
56					
57					
58					
59					
60					
61					
62					
63					
