	trialType	Response	Attempts	RT	waterTime
0	AB	correct		9.282999992370605	2.4040000438690186
1	AB	correct		6.088000059127808	2.203000068664551
2	AB	incorrect		1.3919999599456787	NA
3	AB	correct		5.368000030517578	2.1629998683929443
4	AB	incorrect		0.9210000038146973	NA
5	AB	incorrect		2.133000135421753	NA
6	AB	incorrect		1.1720001697540283	NA
7	AB	correct		4.386999845504761	2.312999963760376
8	AB	incorrect		2.0530002117156982	NA
9	AB	correct		2.7239999771118164	2.203000068664551
10	AB	correct		2.013000011444092	2.243000030517578
11	AB	incorrect		2.5139999389648438	NA
12	AB	correct		9.614000082015991	2.4529998302459717
13	AB	correct		8.021999835968018	2.302999973297119
14	AB	incorrect		2.0929999351501465	NA
15	AB	correct		2.2929999828338623	2.243000030517578
16	AB	incorrect		2.7039999961853027	NA
17	AB	incorrect		1.371999979019165	NA
18	AB	correct		1.7630000114440918	2.172999858856201
19	AB	incorrect		0.8610000610351562	NA
20	AB	correct		5.568000078201294	2.303999900817871
21	AB	incorrect		2.3529999256134033	NA
22	AB	incorrect		2.2829999923706055	NA
23	AB	correct		2.7239999771118164	2.1730000972747803
24	AB	incorrect		0.9609999656677246	NA
25	AB	correct		2.623999834060669	2.133000135421753
26	AB	correct		11.816999912261963	2.2730000019073486
27	AB	correct		31.745999813079834	2.2330000400543213
28	AB	correct		3.9049999713897705	2.2939999103546143
29	AB	incorrect		2.3529999256134033	NA
30	AB	incorrect		1.312000036239624	NA
31	AB	incorrect		1.7920000553131104	NA
