,rat,session,rmssd,avg_HR
0,101,001,17.4479774947,410.886901885
1,101,002,6.70239991095,407.673981696
2,102,001,7.59991910525,398.714345892
3,102,002,12.5479037549,399.027819545
4,103,001,7.59242535936,412.033206097
5,103,002,11.701235786,426.959886863
6,104,001,8.72376644268,405.25743987388967
7,104,002,12.2321059556,429.86775178
8,105,001,7.49683854237,427.475581672
9,105,002,14.6762584463,425.9689679
10,106,001,24.7494489569,398.785213111
11,106,002,8.80147324108,421.976818472
12,107,001,14.7473219985,276.163956096
13,107,002,8.83680182299,302.383989012
14,108,001,8.99702035047,370.411299513
15,108,002,9.12847352659,388.329834214
16,109,001,7.13850561049,381.92043866
17,109,002,7.24326237634,367.16893039
18,110,001,4.95629133937,461.456967816
19,110,002,9.85472651855,434.169323215
20,112,001,18.9089066256,426.482508869
21,112,002,9.48238861807,451.493051894
