	accuracy	average_RT	average_water_time	ITI	ISI	condition
0	na	0.69099998474121094	3.8360002040863037	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
1	na	11.887499928474426	4.4915001392364502	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
2	na	11.032666603724161	4.1093334356943769	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
3	na	9.1132498979568481	3.7302501201629639	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
4	na	8.5663999080657955	3.4788001060485838	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
5	na	8.1868332624435425	3.3163334131240845	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
6	na	7.2432856559753418	3.1817143644605363	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
7	na	6.9337499439716339	3.0918750762939453	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
8	na	6.3457777235243054	3.0154445171356201	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
9	na	6.3420999526977537	2.9523000717163086	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
10	na	6.0741817734458232	2.900545532053167	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
11	na	5.6681666175524397	2.8640834093093872	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
12	na	5.3146153413332424	2.8432308343740611	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
13	na	5.0379999535424371	2.8204286439078197	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
14	na	4.8209332942962648	2.7946667353312176	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
15	na	4.6303749680519104	2.8415625542402267	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
16	na	4.6914117336273193	2.8358235779930565	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
17	na	4.6694444153043957	2.8084444867240057	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
18	na	4.6402631307903093	2.7971579275633158	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
19	na	4.6710999846458439	2.7855000257492066	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
20	1.0	4.7266666548592706	2.9671428771246049	0.0	0.0	trialOrders/AB_64_trials/AB_64_trials17.txt
21						
22						
23						
24						
25						
26						
27						
28						
29						
30						
31						
32						
33						
34						
35						
36						
37						
38						
39						
40						
41						
42						
43						
44						
45						
46						
47						
48						
49						
50						
51						
52						
53						
54						
55						
56						
57						
58						
59						
60						
61						
62						
63						
