	trialType	Response	Attempts	RT	waterTime
0	AB	correct	2	0.6909999847412109	3.8360002040863037
1	AB	correct	1	23.08399987220764	5.147000074386597
2	AB	correct	1	9.322999954223633	3.3450000286102295
3	AB	correct	1	3.3549997806549072	2.5930001735687256
4	AB	correct	1	6.378999948501587	2.4730000495910645
5	AB	correct	1	6.289000034332275	2.503999948501587
6	AB	correct	1	1.5820000171661377	2.374000072479248
7	AB	correct	1	4.766999959945679	2.4630000591278076
8	AB	correct	1	1.6419999599456787	2.4040000438690186
9	AB	correct	1	6.309000015258789	2.384000062942505
10	AB	correct	1	3.3949999809265137	2.383000135421753
11	AB	correct	1	1.2019999027252197	2.4630000591278076
12	AB	correct	2	1.0720000267028809	2.5929999351501465
13	AB	correct	1	1.441999912261963	2.5240001678466797
14	AB	correct	2	1.7820000648498535	2.434000015258789
15	AB	correct	1	1.7720000743865967	3.544999837875366
16	AB	correct	3	5.667999982833862	2.74399995803833
17	AB	correct	1	4.296000003814697	2.3429999351501465
18	AB	correct	1	4.115000009536743	2.5939998626708984
19	AB	correct	1	5.257000207901001	2.563999891281128
20	AB	correct	1	5.838000059127808	6.599999904632568
21					
22					
23					
24					
25					
26					
27					
28					
29					
30					
31					
32					
33					
34					
35					
36					
37					
38					
39					
40					
41					
42					
43					
44					
45					
46					
47					
48					
49					
50					
51					
52					
53					
54					
55					
56					
57					
58					
59					
60					
61					
62					
63					
