	trialType	Response	Attempts	RT	waterTime
0	AB	correct	1	1.7730000019073486	1.872999906539917
1	AB	correct	1	27.819999933242798	6.760000228881836
2	AB	correct	2	5.54800009727478	3.2249999046325684
3	AB	correct	2	3.1649999618530273	4.115999937057495
4	AB	correct	1	6.610000133514404	3.1740000247955322
5	AB	correct	1	8.052000045776367	3.1540000438690186
6	AB	correct	1	10.305000066757202	2.694000005722046
7	AB	correct	1	1.4820001125335693	3.2750000953674316
8	AB	correct	1	1.4819998741149902	2.93500018119812
9	AB	correct	2	4.896999835968018	2.945000171661377
10	AB	correct	1	1.4119999408721924	2.994999885559082
11	AB	correct	2	27.018999814987183	2.8940000534057617
12	AB	correct	1	8.07200002670288	2.99399995803833
13	AB	correct	1	2.8539998531341553	3.205000162124634
14	AB	correct	1	4.336999893188477	3.2339999675750732
15	AB	correct	1	8.682999849319458	2.763000011444092
16	AB	correct	1	8.943000078201294	3.0339999198913574
17	AB	correct	1	0.39999985694885254	3.2250001430511475
18	AB	correct	1	0.6109998226165771	3.5850000381469727
19	AB	correct	1	2.0230000019073486	3.31499981880188
20	AB	correct	1	11.677000045776367	3.0950000286102295
21	AB	correct	1	1.1119999885559082	3.184000015258789
22	AB	correct	1	2.924999952316284	3.124000072479248
23	AB	correct	1	2.9140000343322754	5.10699987411499
24	AB	correct	2	8.891999959945679	3.174999952316284
25	AB	correct	2	1.4620001316070557	3.065000057220459
26	AB	correct	2	26.35800004005432	2.7939999103546143
27	AB	correct	1	1.9830000400543213	2.753999948501587
28	AB	correct	3	42.962000131607056	2.8540000915527344
29	AB	correct	4	15.162000179290771	3.7249999046325684
30	AB	correct	3	7.91100001335144	3.003999948501587
31	AB	correct	1	5.988000154495239	2.684000015258789
32	AB	correct	1	0.931999921798706	2.9240000247955322
33	AB	correct	3	3.615000009536743	3.625
34	AB	correct	1	0.9110000133514404	2.764000177383423
35	AB	correct	1	1.1419999599456787	3.2149999141693115
36	AB	correct	1	7.291000127792358	2.613999843597412
37	AB	correct	4	0.6210000514984131	2.8339998722076416
38	AB	correct	1	3.94599986076355	2.7940001487731934
39	AB	correct	1	0.8320000171661377	4.145999908447266
40	AB	correct	1	1.312000036239624	2.8539998531341553
41	AB	correct	1	2.9839999675750732	2.864000082015991
42	AB	correct	2	7.079999923706055	2.6640000343322754
43	AB	correct	3	7.271000146865845	2.7339999675750732
44	AB	correct	1	1.4230000972747803	2.9539999961853027
45	AB	correct	1	1.5319998264312744	2.9750001430511475
46	AB	correct	3	1.8429999351501465	3.234999895095825
47	AB	correct	1	5.667999982833862	2.873999834060669
48	AB	correct	1	2.4539999961853027	2.8339998722076416
49	AB	correct	2	1.5420000553131104	4.766999959945679
50	AB	correct	1	3.075000047683716	2.9739999771118164
51	AB	correct	1	1.1319999694824219	2.8940000534057617
52	AB	correct	1	2.7739999294281006	2.934000015258789
53	AB	correct	2	2.9140000343322754	2.9539999961853027
54	AB	correct	2	11.2260000705719	2.6540000438690186
55	AB	correct	2	55.72999978065491	3.565000057220459
56	AB	correct	1	26.157999992370605	2.623000144958496
57	AB	correct	2	46.18599987030029	2.9240000247955322
58	AB	correct	1	27.45899987220764	2.9639999866485596
59	AB	correct	2	2.5339999198913574	2.814000129699707
60	AB	correct	1	1.9530000686645508	2.5739998817443848
61	AB	correct	3	7.310999870300293	2.8440001010894775
62	AB	correct	3	2.7739999294281006	2.813999891281128
63	AB	correct	1	1.0520000457763672	2.9839999675750732
